Grade,Topic,Subtopic,Activity Type,Activity Name,Description,Location
Class 4,Phonics,Identifying Sounds,Practice,Identify Words Ending with -ome? -ank? -unk? -ile? and -ift families,Students identify words that end with -ome? -ank? -unk? -ile and -ift.,english/content/language_arts/DR2_en-IN/dr2/dr2/cm/launch.html?../WF/x_a562.swf
Class 4,Reading,Advanced Reading,Instruction,Features of Informational Text and How to Use,Students learn about informational texts and how to use them.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r763/x_a763.swf
Class 4,Reading,Advanced Reading,Practice,Table of Contents? Glossary and Index,Students explore a table of contents? a glossary and an index? and practice using them to find information.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../DD/FW/x_a530.swf
Class 4,Reading,Advanced Reading,Practice,Write a Prediction of the Story,Students predict what will happen in a story? based on a picture from the story.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../TextEntry/WritersPad/x_a618.swf
Class 4,Reading,Advanced Reading,Instruction,Features of Encyclopaedia Entries,An informational graphic explaining the features of encyclopaedia entries.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r503/x_a503.swf
Class 4,Reading,Advanced Reading,Practice,Aardvark: An Encyclopaedia Article,An encyclopaedia entry about aardvarks.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a238.swf
Class 4,Reading,Advanced Reading,Instruction,Features of Recipes,An informational graphic explaining the features of recipes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r517/x_a517.swf
Class 4,Reading,Advanced Reading,Instruction,Features of a Myth,An informational graphic explaining the features of Greek myths.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r520/x_a520.swf
Class 4,Reading,Advanced Reading,Practice,Map Legends/ Key,An informational text explaining the features of a map.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r831/x_a831.swf
Class 4,Reading,Advanced Reading,Instruction,Features of Historical Fiction,An informational graphic about historical fiction.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r521/x_a521.swf
Class 4,Reading,Advanced Reading,Instruction,Features of Adventure Fiction 1,An informational graphic about adventure fiction.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r523/x_a523.swf
Class 4,Reading,Advanced Reading,Instruction,Features of Adventure Fiction 2,An informational graphic about adventure fiction.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r490/x_a490.swf
Class 4,Reading,Advanced Reading,Instruction,Features of a Mystery,An informational graphic about mystery stories.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r504/x_a504.swf
Class 4,Reading,Advanced Reading,Instruction,Vocabulary Strategies While Reading,An introduction to strategies for recognising new words when reading.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/OnStage/x_a590.swf
Class 4,Reading,Advanced Reading,Instruction,Features of Poetry,An informational graphic explaining the features of poems.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../PC/FocusIn/r767/x_a767.swf
Class 4,Reading,Reading for Fun,Practice,A Volcano Is Born,An informational text about volcanoes.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/NonFiction/x_a230.swf
Class 4,Reading,Reading for Fun,Practice,Recipe: Fruit Cream,A recipe for fruit cream.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Info/x_a233.swf
Class 4,Reading,Reading for Fun,Practice,The Grateful Statues: A Play,A play based on a folk tale about a man who helps some statues.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a235.swf
Class 4,Reading,Reading for Fun,Practice,The Shoemaker and the Elves,A fairy tale about a shoemaker and some elves.,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a234.swf
Class 4,Reading,Reading for Fun,Practice,Anansi and Chameleon,An African folk tale about a greedy spider and a clever chameleon. ,english/content/language_arts/DR1_en-IN/dr1/dr1/cm/launch.html?../RT/Stories/x_a259.swf
